omitted_item_id,affected_boards,scheme_id,scheme,full_eligible_models,post_omission_eligible_models,eligible_population_retention,conditional_spearman,top50_retention
gdpval-aa-elo,agentic-tool-work,rasch_business,连续 1PL/Rasch 近似 + 现行板块权重,328,328,1.0,0.999967,0.98
gdpval-aa-elo,agentic-tool-work,twopl_equal,强收缩连续 2PL 近似 + 五板块等权,328,328,1.0,0.999956,1.0
gdpval-aa-elo,agentic-tool-work,robust_eb,稳健秩变换 + 贝叶斯式收缩,328,328,1.0,0.999943,1.0
gdpval-aa-elo,agentic-tool-work,borda_breadth,收缩 Borda + 广度优先合成,328,328,1.0,0.999981,1.0
toolathlon,agentic-tool-work,rasch_business,连续 1PL/Rasch 近似 + 现行板块权重,328,328,1.0,0.99994,0.98
toolathlon,agentic-tool-work,twopl_equal,强收缩连续 2PL 近似 + 五板块等权,328,328,1.0,0.999983,1.0
toolathlon,agentic-tool-work,robust_eb,稳健秩变换 + 贝叶斯式收缩,328,328,1.0,0.999948,0.98
toolathlon,agentic-tool-work,borda_breadth,收缩 Borda + 广度优先合成,328,328,1.0,0.999966,0.98
aa-lcr,agentic-tool-work | instruction-context,rasch_business,连续 1PL/Rasch 近似 + 现行板块权重,328,130,0.396341,0.996389,0.76
aa-lcr,agentic-tool-work | instruction-context,twopl_equal,强收缩连续 2PL 近似 + 五板块等权,328,130,0.396341,0.99492,0.7
aa-lcr,agentic-tool-work | instruction-context,robust_eb,稳健秩变换 + 贝叶斯式收缩,328,130,0.396341,0.994478,0.6
aa-lcr,agentic-tool-work | instruction-context,borda_breadth,收缩 Borda + 广度优先合成,328,130,0.396341,0.992735,0.64
hle,hard-reasoning | knowledge-science,rasch_business,连续 1PL/Rasch 近似 + 现行板块权重,328,328,1.0,0.996789,0.9
hle,hard-reasoning | knowledge-science,twopl_equal,强收缩连续 2PL 近似 + 五板块等权,328,328,1.0,0.995687,0.9
hle,hard-reasoning | knowledge-science,robust_eb,稳健秩变换 + 贝叶斯式收缩,328,328,1.0,0.995849,0.98
hle,hard-reasoning | knowledge-science,borda_breadth,收缩 Borda + 广度优先合成,328,328,1.0,0.996855,0.96
critpt,hard-reasoning | instruction-context,rasch_business,连续 1PL/Rasch 近似 + 现行板块权重,328,309,0.942073,0.997806,0.84
critpt,hard-reasoning | instruction-context,twopl_equal,强收缩连续 2PL 近似 + 五板块等权,328,309,0.942073,0.996814,0.78
critpt,hard-reasoning | instruction-context,robust_eb,稳健秩变换 + 贝叶斯式收缩,328,309,0.942073,0.995916,0.84
critpt,hard-reasoning | instruction-context,borda_breadth,收缩 Borda + 广度优先合成,328,309,0.942073,0.996066,0.84
gpqa-diamond,hard-reasoning | knowledge-science,rasch_business,连续 1PL/Rasch 近似 + 现行板块权重,328,328,1.0,0.997369,0.9
gpqa-diamond,hard-reasoning | knowledge-science,twopl_equal,强收缩连续 2PL 近似 + 五板块等权,328,328,1.0,0.996084,0.92
gpqa-diamond,hard-reasoning | knowledge-science,robust_eb,稳健秩变换 + 贝叶斯式收缩,328,328,1.0,0.997104,0.98
gpqa-diamond,hard-reasoning | knowledge-science,borda_breadth,收缩 Borda + 广度优先合成,328,328,1.0,0.997101,0.96
aime-2025,hard-reasoning,rasch_business,连续 1PL/Rasch 近似 + 现行板块权重,328,328,1.0,0.998643,0.94
aime-2025,hard-reasoning,twopl_equal,强收缩连续 2PL 近似 + 五板块等权,328,328,1.0,0.998514,0.98
aime-2025,hard-reasoning,robust_eb,稳健秩变换 + 贝叶斯式收缩,328,328,1.0,0.999533,0.94
aime-2025,hard-reasoning,borda_breadth,收缩 Borda + 广度优先合成,328,328,1.0,0.999626,0.96
aime-2026,hard-reasoning,rasch_business,连续 1PL/Rasch 近似 + 现行板块权重,328,328,1.0,0.999978,0.98
aime-2026,hard-reasoning,twopl_equal,强收缩连续 2PL 近似 + 五板块等权,328,328,1.0,0.999984,1.0
