scheme_id,scheme,base_scheme_id,ranked_models,main_evidence_models,provisional_models,fable_rank,qwen_direct_edge_violations_before,qwen_direct_edge_violations_after,gemini_flash_min_main_open_models_above,gemini_3_5_flash_rank,gemini_3_6_flash_rank,qwen_3_8_max_rank,qwen_3_7_max_rank,qwen_3_7_plus_rank,qwen_3_6_plus_rank,spearman_vs_unconstrained_after_coverage,top50_overlap_with_unconstrained_after_coverage,max_absolute_constraint_shift,top50_provisional_models,top50_median_unique_families
guarded_aindex,覆盖校正 AIndex + 产品硬约束,baseline_aindex,328,129,199,1,3,0,15,35,29,14,15,37,39,0.999155,47,42,13,14.0
guarded_rasch,连续 1PL/Rasch + 独立覆盖校正 + 产品硬约束,rasch_business,328,129,199,1,3,0,15,32,26,10,11,33,35,0.998023,48,72,12,13.0
guarded_twopl,强收缩连续 2PL + 独立覆盖校正 + 产品硬约束,twopl_equal,328,129,199,1,3,0,15,31,27,11,12,34,36,0.998519,48,63,12,13.0
guarded_robust,稳健秩收缩 + 独立覆盖校正 + 产品硬约束,robust_eb,328,129,199,1,3,0,15,31,29,10,11,42,44,0.998292,46,53,14,12.0
guarded_borda,收缩 Borda 广度榜 + 独立覆盖校正 + 产品硬约束,borda_breadth,328,129,199,1,3,0,15,27,32,6,7,41,43,0.997825,47,62,14,12.0
